N1,T1,N2,T2,N3,T3,N4
4,264,8,288,3,160,2
4,224,8,288,3,151,2
4,232,8,336,3,176,2
1,256,5,240,0,368,9
1,336,5,360,0,344,9
1,240,5,248,0,240,9
8,271,4,329,2,175,1
8,240,4,288,2,224,1
8,216,4,232,2,184,1
8,184,5,208,2,312,9
8,208,5,232,2,368,9
8,191,5,217,2,312,9
9,296,3,288,6,232,9
9,264,3,344,6,224,9
9,280,3,272,6,184,9
5,176,6,248,7,240,2
5,200,6,224,7,240,2
5,191,6,224,7,256,2
8,224,0,376,3,576,7
8,272,0,584,3,368,7
8,215,0,416,3,280,7
3,296,1,160,1,208,2
3,328,1,160,1,216,2
3,296,1,152,1,232,2
9,286,5,288,7,240,7
9,312,5,272,7,232,7
9,240,5,232,7,192,7
1,624,6,304,9,272,6
1,392,6,304,9,263,6
1,344,6,279,9,216,6
4,288,8,312,3,224,2
4,232,8,248,3,184,2
4,232,8,232,3,176,2
1,280,5,288,0,272,9
1,192,5,256,0,208,9
1,248,5,264,0,224,9
8,223,4,208,2,176,1
8,264,4,224,2,184,1
8,216,4,192,2,168,1
8,200,5,184,2,280,9
8,208,5,200,2,264,9
8,216,5,184,2,279,9
9,296,3,304,6,272,9
9,408,3,280,6,320,9
9,360,3,264,6,328,9
5,240,6,376,7,272,2
5,192,6,184,7,176,2
5,168,6,208,7,184,2
8,168,0,248,3,248,7
8,208,0,320,3,224,7
8,184,0,255,3,232,7
3,232,1,144,1,176,2
3,280,1,128,1,176,2
3,240,1,144,1,168,2
5,237,0,536,9,352,1
5,256,0,256,9,304,1
5,184,0,376,9,376,1
0,231,8,224,5,281,9
0,224,8,216,5,224,9
0,224,8,264,5,240,9
8,176,7,336,3,224,5
8,216,7,880,3,224,5
8,224,7,361,3,287,5
9,224,0,208,9,128,9
9,216,0,312,9,136,9
9,368,0,280,9,144,9
5,192,3,367,0,305,1
5,176,3,305,0,303,1
5,208,3,320,0,328,1
6,128,6,304,1,232,7
6,136,6,328,1,288,7
6,144,6,320,1,272,7
0,239,5,296,0,296,3
0,248,5,304,0,344,3
0,256,5,352,0,384,3
8,144,8,280,3,264,4
8,152,8,408,3,272,4
8,167,8,376,3,344,4
5,392,2,160,2,168,2
5,376,2,160,2,208,2
5,432,2,160,2,304,2
3,384,9,384,7,384,1
3,351,9,360,7,432,1
3,368,9,360,7,616,1
2,190,4,320,1,144,1
2,240,4,416,1,176,1
2,239,4,368,1,152,1
9,384,4,168,4,224,7
9,424,4,144,4,240,7
9,400,4,159,4,273,7
9,520,2,296,6,296,0
9,480,2,223,6,304,0
9,320,2,240,6,256,0
0,248,7,328,2,144,3
0,232,7,416,2,184,3
0,223,7,353,2,184,3
2,207,5,224,8,265,2
2,184,5,208,8,296,2
2,192,5,208,8,280,2
0,288,4,200,7,344,3
0,312,4,168,7,384,3
0,305,4,175,7,392,3
4,184,1,408,3,136,3
4,200,1,448,3,176,3
4,200,1,400,3,152,3
0,311,6,273,5,239,4
0,295,6,256,5,248,4
0,272,6,208,5,224,4
7,200,8,216,4,296,9
7,208,8,248,4,224,9
7,191,8,248,4,304,9
5,168,5,1088,5,320,8
5,160,5,248,5,248,8
5,160,5,144,5,200,8
9,231,5,272,7,304,7
9,232,5,216,7,224,7
9,248,5,224,7,224,7
1,272,6,224,9,192,6
1,304,6,240,9,240,6
1,279,6,264,9,224,6
4,232,8,272,3,224,2
4,232,8,304,3,216,2
4,224,8,240,3,184,2
1,256,5,272,0,240,9
1,232,5,224,0,224,9
1,288,5,256,0,216,9
8,232,4,216,2,160,1
8,223,4,185,2,144,1
8,223,4,321,2,167,1
8,208,5,176,2,224,9
8,216,5,184,2,240,9
8,192,5,208,2,248,9
9,288,3,224,6,216,9
9,263,3,184,6,176,9
9,272,3,200,6,224,9
5,216,6,216,7,232,2
5,200,6,200,7,232,2
5,208,6,216,7,224,2
8,207,0,313,3,232,7
8,192,0,296,3,232,7
8,352,0,392,3,320,7
3,256,1,216,1,208,2
3,240,1,168,1,200,2
3,216,1,153,1,191,2
5,263,0,263,9,273,1
5,240,0,232,9,240,1
5,240,0,240,9,264,1
0,256,8,208,5,184,9
0,208,8,175,5,169,9
0,207,8,168,5,160,9
8,160,7,240,3,168,5
8,192,7,224,3,192,5
8,168,7,232,3,168,5
9,192,0,232,9,176,9
9,184,0,216,9,168,9
9,232,0,248,9,232,9
5,240,3,320,0,344,1
5,224,3,248,0,272,1
5,192,3,256,0,288,1
6,136,6,232,1,232,7
6,144,6,240,1,192,7
6,152,6,224,1,232,7
0,247,5,232,0,280,3
0,232,5,224,0,272,3
0,255,5,216,0,281,3
8,160,8,264,3,240,4
8,160,8,224,3,208,4
8,152,8,216,3,176,4
5,224,2,192,2,208,2
5,216,2,167,2,200,2
5,288,2,296,2,328,2
3,264,9,256,7,248,1
3,232,9,232,7,232,1
3,224,9,224,7,240,1
2,206,4,225,1,207,1
2,216,4,232,1,200,1
2,192,4,200,1,192,1
9,296,4,176,4,184,7
9,288,4,168,4,200,7
9,264,4,159,4,168,7
9,248,2,184,6,240,0
9,232,2,176,6,200,0
9,240,2,184,6,200,0
0,216,7,264,2,184,3
0,215,7,256,2,177,3
0,216,7,248,2,160,3
2,208,5,216,8,296,2
2,200,5,184,8,232,2
2,184,5,200,8,232,2
0,271,4,193,7,256,3
0,272,4,184,7,216,3
0,240,4,168,7,216,3
4,184,1,216,3,184,3
4,184,1,208,3,184,3
4,192,1,233,3,183,3
0,272,6,184,5,160,4
0,256,6,176,5,152,4
0,248,6,184,5,144,4
7,184,8,184,4,184,9
7,183,8,193,4,200,9
7,167,8,168,4,169,9
5,216,5,248,5,240,8
5,224,5,224,5,216,8
5,176,5,176,5,192,8
5,325,0,272,9,304,1
5,304,0,288,9,304,1
5,440,0,264,9,312,1
0,248,8,200,5,208,9
0,255,8,249,5,271,9
0,256,8,208,5,248,9
8,224,7,264,3,240,5
8,215,7,297,3,232,5
8,232,7,272,3,264,5
9,216,0,208,9,152,9
9,192,0,176,9,152,9
9,216,0,200,9,184,9
5,232,3,280,0,368,1
5,216,3,280,0,280,1
5,200,3,288,0,304,1
6,128,6,256,1,248,7
6,184,6,280,1,320,7
6,191,6,273,1,311,7
0,327,5,264,0,328,3
0,280,5,312,0,336,3
0,232,5,224,0,216,3
8,184,8,240,3,305,4
8,168,8,232,3,280,4
8,152,8,224,3,272,4
5,240,2,184,2,216,2
5,223,2,192,2,208,2
5,199,2,160,2,168,2
3,248,9,264,7,200,1
3,224,9,256,7,192,1
3,223,9,241,7,192,1
7,229,4,273,3,352,0
7,208,4,216,3,272,0
7,184,4,216,3,272,0
9,224,8,240,1,240,8
9,216,8,327,1,393,8
9,224,8,232,1,232,8
1,889,3,360,0,304,2
1,256,3,296,0,280,2
1,240,3,288,0,272,2
1,256,0,208,7,152,0
1,247,0,200,7,153,0
1,256,0,200,7,144,0
2,224,0,264,1,271,9
2,279,0,305,1,423,9
2,264,0,272,1,400,9
4,280,3,328,4,176,4
4,208,3,192,4,160,4
4,200,3,199,4,177,4
7,345,6,143,6,232,2
7,376,6,144,6,240,2
7,304,6,144,6,216,2
3,296,6,136,6,192,8
